"종목코드","기준일","지표","값"
"004960","20250729","DY","0.0118"
"004970","20250729","DY","0.0509"
"004980","20250729","DY","0.0348"
"004990","20250729","DY","0.0425"
"005010","20250729","DY","0.0315"
"005090","20250729","DY","0.0685"
"005160","20250729","DY","0.0329"
"005180","20250729","DY","0.0409"
"005250","20250729","DY","0.031"
"005290","20250729","DY","0.0061"
"005300","20250729","DY","0.0259"
"005360","20250729","DY","0.0146"
"005380","20250729","DY","0.055"
"005430","20250729","DY","0.0163"
"005440","20250729","DY","0.0243"
"005490","20250729","DY","0.0316"
"005500","20250729","DY","0.0399"
"005610","20250729","DY","0.0327"
"005670","20250729","DY","0.0222"
"005680","20250729","DY","0.027"
"005690","20250729","DY","0.0016"
"005710","20250729","DY","0.0178"
"005720","20250729","DY","0.0212"
"005740","20250729","DY","0.0165"
"005750","20250729","DY","0.0348"
"005800","20250729","DY","0.0113"
"005810","20250729","DY","0.0284"
"005820","20250729","DY","0.0248"
"005830","20250729","DY","0.0524"
"005850","20250729","DY","0.0344"
"005860","20250729","DY","0.0129"
"005930","20250729","DY","0.0205"
"005940","20250729","DY","0.047"
"005960","20250729","DY","0.0366"
"005990","20250729","DY","0.0239"
"006040","20250729","DY","0.0242"
"006050","20250729","DY","0.0078"
"006060","20250729","DY","0.0449"
"006090","20250729","DY","0.0152"
"006110","20250729","DY","0.0008"
"006120","20250729","DY","0.0306"
"006140","20250729","DY","0.029"
"006200","20250729","DY","0.0268"
"006220","20250729","DY","0.0069"
"006260","20250729","DY","0.0095"
"006280","20250729","DY","0.0103"
"006360","20250729","DY","0.0149"
"006390","20250729","DY","0.0492"
"006400","20250729","DY","0.0052"
"006620","20250729","DY","0.0238"
"006650","20250729","DY","0.01"
"006660","20250729","DY","0.0058"
"006730","20250729","DY","0.0116"
"006800","20250729","DY","0.0129"
"006840","20250729","DY","0.0348"
"006880","20250729","DY","0.0152"
"006890","20250729","DY","0.017"
"006980","20250729","DY","0.0182"
"007070","20250729","DY","0.0306"
"007210","20250729","DY","0.0171"
"007310","20250729","DY","0.0227"
"007330","20250729","DY","0.0675"
"007340","20250729","DY","0.0324"
"007370","20250729","DY","0.0238"
"007530","20250729","DY","0.0109"
"007540","20250729","DY","0.0042"
"007570","20250729","DY","0.0112"
"007590","20250729","DY","0.0476"
"007660","20250729","DY","0.0024"
"007680","20250729","DY","0.026"
"007690","20250729","DY","0.0154"
"007700","20250729","DY","0.0232"
"007770","20250729","DY","0.0052"
"007860","20250729","DY","0.0194"
"007980","20250729","DY","0.0343"
"008040","20250729","DY","0.0181"
"008060","20250729","DY","0.0623"
"008250","20250729","DY","0.0188"
"008260","20250729","DY","0.027"
"008370","20250729","DY","0.0542"
"008420","20250729","DY","0.021"
"008470","20250729","DY","0.0127"
"008490","20250729","DY","0.0104"
"008730","20250729","DY","0.007"
"008830","20250729","DY","0.0023"
"008870","20250729","DY","0.0256"
"008930","20250729","DY","0.006"
"009070","20250729","DY","0.0134"
"009140","20250729","DY","0.0168"
"009150","20250729","DY","0.0131"
"009160","20250729","DY","0.0392"
"009180","20250729","DY","0.0493"
"009200","20250729","DY","0.0463"
"009240","20250729","DY","0.1858"
"009270","20250729","DY","0.0435"
"009290","20250729","DY","0.0164"
"009300","20250729","DY","0.0436"
"009450","20250729","DY","0.0075"
"009470","20250729","DY","0.0187"
"009520","20250729","DY","0.0014"
"009540","20250729","DY","0.0147"
"009580","20250729","DY","0.0362"
"009680","20250729","DY","0.0575"
"009770","20250729","DY","0.034"
"009780","20250729","DY","0.0138"
"009830","20250729","DY","0.0079"
"009900","20250729","DY","0.0178"
"009970","20250729","DY","0.0382"
"010040","20250729","DY","0.0426"
"010060","20250729","DY","0.0222"
"010100","20250729","DY","0.0231"
"010120","20250729","DY","0.0095"
"010130","20250729","DY","0.0219"
"010240","20250729","DY","0.0421"
"010420","20250729","DY","0.0133"
"010470","20250729","DY","0.0449"
"010620","20250729","DY","0.0034"
"010640","20250729","DY","0.0623"
"010660","20250729","DY","0.007"
"010690","20250729","DY","0.0166"
"010770","20250729","DY","0.0301"
"010780","20250729","DY","0.0487"
"010950","20250729","DY","0.002"
"010960","20250729","DY","0.0441"
"011040","20250729","DY","0.0497"
"011070","20250729","DY","0.0134"
"011170","20250729","DY","0.0306"
"011200","20250729","DY","0.0254"
"011210","20250729","DY","0.022"
"011320","20250729","DY","0.0116"
"011370","20250729","DY","0.0334"
"011390","20250729","DY","0.0028"
"011500","20250729","DY","0.004"
"011560","20250729","DY","0.0444"
"011700","20250729","DY","0.0041"
"011760","20250729","DY","0.0277"
"011780","20250729","DY","0.018"
"012280","20250729","DY","0.036"
"012320","20250729","DY","0.0117"
"012330","20250729","DY","0.0202"
"012450","20250729","DY","0.0035"
"012510","20250729","DY","0.0063"
"012610","20250729","DY","0.0146"
"012620","20250729","DY","0.0317"
"012630","20250729","DY","0.0154"
"012700","20250729","DY","0.0216"
"012750","20250729","DY","0.0365"
"012790","20250729","DY","0.0284"
"013000","20250729","DY","0.0269"
"013030","20250729","DY","0.0375"
"013120","20250729","DY","0.0261"
"013310","20250729","DY","0.035"
"013520","20250729","DY","0.0399"
"013570","20250729","DY","0.027"
"013580","20250729","DY","0.0206"
"013700","20250729","DY","0.0186"
"013870","20250729","DY","0.0617"
"013890","20250729","DY","0.0042"
"014130","20250729","DY","0.029"
"014280","20250729","DY","0.0256"
"014440","20250729","DY","0.0778"
"014530","20250729","DY","0.0571"
"014570","20250729","DY","0.0342"
"014580","20250729","DY","0.0292"
"014620","20250729","DY","0.0062"
"014680","20250729","DY","0.0114"
"014820","20250729","DY","0.0195"
"014830","20250729","DY","0.0214"
"014940","20250729","DY","0.0168"
"014970","20250729","DY","0.0088"
"015230","20250729","DY","0.0262"
"015360","20250729","DY","0.0681"
"015710","20250729","DY","0.017"
"015750","20250729","DY","0.0247"
"015760","20250729","DY","0.0054"
"015860","20250729","DY","0.0256"
"015890","20250729","DY","0.0467"
"016090","20250729","DY","0.0471"
"016250","20250729","DY","0.0329"
"016360","20250729","DY","0.0493"
"016380","20250729","DY","0.0407"
"016450","20250729","DY","0.0591"
"016580","20250729","DY","0.0246"
"016590","20250729","DY","0.0192"
"016610","20250729","DY","0.0451"
"016710","20250729","DY","0.0267"
"016740","20250729","DY","0.0345"
"016800","20250729","DY","0.0256"
"016920","20250729","DY","0.0079"
"017370","20250729","DY","0.0066"
"017390","20250729","DY","0.0396"
"017480","20250729","DY","0.0647"
"017510","20250729","DY","0.011"
"017550","20250729","DY","0.0055"
"017650","20250729","DY","0.014"
"017670","20250729","DY","0.0642"
"017800","20250729","DY","0.0677"
"017810","20250729","DY","0.0071"
"017890","20250729","DY","0.0113"
"017900","20250729","DY","0.0261"
"017940","20250729","DY","0.0414"
"017960","20250729","DY","0.0043"
"018120","20250729","DY","0.0571"
"018250","20250729","DY","0.0348"
"018260","20250729","DY","0.0184"
"018310","20250729","DY","0.0096"
"018500","20250729","DY","0.0345"
"018670","20250729","DY","0.0303"
"019010","20250729","DY","0.0218"
"019180","20250729","DY","0.0209"
"019210","20250729","DY","0.0281"
"019440","20250729","DY","0.0664"
"019540","20250729","DY","0.0228"
"019770","20250729","DY","0.0166"
"020000","20250729","DY","0.0463"
"020180","20250729","DY","0.0285"
"020400","20250729","DY","0.0102"
"020710","20250729","DY","0.0306"
"021080","20250729","DY","0.0291"
"021240","20250729","DY","0.0232"
"021320","20250729","DY","0.0307"
"021650","20250729","DY","0.0341"
"021820","20250729","DY","0.014"
"022100","20250729","DY","0.0049"
"023000","20250729","DY","0.0431"
"023150","20250729","DY","0.046"
"023160","20250729","DY","0.0115"
"023350","20250729","DY","0.0196"
"023410","20250729","DY","0.0491"
"023450","20250729","DY","0.0281"
"023530","20250729","DY","0.0532"
"023590","20250729","DY","0.0405"
"023600","20250729","DY","0.0256"
"023760","20250729","DY","0.0388"
"023800","20250729","DY","0.0254"
"023810","20250729","DY","0.0295"
"023900","20250729","DY","0.0171"
"023910","20250729","DY","0.0279"
"024060","20250729","DY","0.0024"
"024070","20250729","DY","0.0253"
"024090","20250729","DY","0.0593"
"024110","20250729","DY","0.0554"
"024120","20250729","DY","0.0551"
"024720","20250729","DY","0.014"
"024830","20250729","DY","0.0148"
"024880","20250729","DY","0.0311"
"024900","20250729","DY","0.0199"
"024910","20250729","DY","0.0119"
"024940","20250729","DY","0.0067"
"025000","20250729","DY","0.0623"
"025530","20250729","DY","0.0616"
"025540","20250729","DY","0.0332"
"025820","20250729","DY","0.0097"
"025860","20250729","DY","0.0111"
"025880","20250729","DY","0.0365"
"025950","20250729","DY","0.0125"
"026890","20250729","DY","0.0248"
"026940","20250729","DY","0.0318"
"026960","20250729","DY","0.0298"
"027360","20250729","DY","0.0216"
"027410","20250729","DY","0.0325"
"027710","20250729","DY","0.0204"
"028050","20250729","DY","0.0247"
"028100","20250729","DY","0.0305"
"028260","20250729","DY","0.015"
"028670","20250729","DY","0.0283"
"029460","20250729","DY","0.0142"
"029530","20250729","DY","0.0312"
"029780","20250729","DY","0.0568"
"030000","20250729","DY","0.0612"
"030190","20250729","DY","0.0282"
"030200","20250729","DY","0.0366"
"030210","20250729","DY","0.0442"
"030520","20250729","DY","0.0156"
"030610","20250729","DY","0.0572"
"030960","20250729","DY","0.0061"
"031210","20250729","DY","0.0706"
