종목명,종목코드,현재가,시가총액,매출성장률,순이익률,부채비율,PER,PBR,평가점수,종합평가,평가이유
코리안리,003690,8060,1570257509860.0,,,,,,0,주의 필요,
삼영,003720,4290,145860000000.0,,,,,,0,주의 필요,
진양산업,003780,8740,113620000000.0,,,,,,0,주의 필요,
에이스침대,003800,25000,277250000000.0,,,,,,0,주의 필요,
대한화섬,003830,112200,149001600000.0,,,,,,0,주의 필요,
보령,003850,9640,836628675480.0,,,,,,0,주의 필요,
남양유업,003920,72500,466668725000.0,,,,,,0,주의 필요,
남양유업우,003925,39000,78000000000.0,,,,,,0,주의 필요,
사조대림,003960,40350,369786243450.0,,,,,,0,주의 필요,
롯데정밀화학,004000,40400,1042320000000.0,,,,,,0,주의 필요,
현대제철,004020,28800,3843238608000.0,,,,,,0,주의 필요,
SG세계물산,004060,316,63966287360.0,,,,,,0,주의 필요,
신흥,004080,14650,139175000000.0,,,,,,0,주의 필요,
한국석유,004090,12760,161976971200.0,,,,,,0,주의 필요,
태양금속,004100,2730,100191000000.0,,,,,,0,주의 필요,
태양금속우,004105,4380,14454000000.0,,,,,,0,주의 필요,
동방,004140,2315,111054638290.0,,,,,,0,주의 필요,
한솔홀딩스,004150,2470,101335751400.0,,,,,,0,주의 필요,
신세계,004170,149700,1473823595700.0,,,,,,0,주의 필요,
NPC,004250,4005,147063600000.0,,,,,,0,주의 필요,
NPC우,004255,2415,12751200000.0,,,,,,0,주의 필요,
남성,004270,1077,39000496320.0,,,,,,0,주의 필요,
현대약품,004310,3285,105120000000.0,,,,,,0,주의 필요,
세방,004360,11920,230159584800.0,,,,,,0,주의 필요,
세방우,004365,7700,28407225000.0,,,,,,0,주의 필요,
농심,004370,383000,2329651886000.0,,,,,,0,주의 필요,
삼익THK,004380,11280,236880000000.0,,,,,,0,주의 필요,
서울식품,004410,141,52840533819.0,,,,,,0,주의 필요,
서울식품우,004415,1199,2667175500.0,,,,,,0,주의 필요,
송원산업,004430,12000,288000000000.0,,,,,,0,주의 필요,
삼일씨엔에스,004440,3965,50482169855.0,,,,,,0,주의 필요,
삼화왕관,004450,30950,66678030050.0,,,,,,0,주의 필요,
세방전지,004490,70700,989800000000.0,,,,,,0,주의 필요,
깨끗한나라,004540,2295,85467390435.0,,,,,,0,주의 필요,
깨끗한나라우,004545,11450,4192532000.0,,,,,,0,주의 필요,
현대비앤지스틸,004560,13250,199794245750.0,,,,,,0,주의 필요,
한국가구,004590,4275,64125000000.0,,,,,,0,주의 필요,
창해에탄올,004650,8890,81706967650.0,,,,,,0,주의 필요,
삼천리,004690,89800,364141245000.0,,,,,,0,주의 필요,
조광피혁,004700,51500,342430607000.0,,,,,,0,주의 필요,
한솔테크닉스,004710,4145,133095444310.0,,,,,,0,주의 필요,
팜젠사이언스,004720,4175,75990444200.0,,,,,,0,주의 필요,
써니전자,004770,2175,79828772700.0,,,,,,0,주의 필요,
대륙제관,004780,3800,60432156200.0,,,,,,0,주의 필요,
효성,004800,47800,800191454600.0,,,,,,0,주의 필요,
덕성,004830,7370,115561600000.0,,,,,,0,주의 필요,
덕성우,004835,10980,15284160000.0,,,,,,0,주의 필요,
DRB동일,004840,4245,84602850000.0,,,,,,0,주의 필요,
티웨이홀딩스,004870,716,81025061704.0,,,,,,0,주의 필요,
동일산업,004890,40000,97008600000.0,,,,,,0,주의 필요,
조광페인트,004910,5830,74624000000.0,,,,,,0,주의 필요,
씨아이테크,004920,1029,51517700997.0,,,,,,0,주의 필요,
한신공영,004960,6280,72664008560.0,,,,,,0,주의 필요,
신라교역,004970,8760,140160000000.0,,,,,,0,주의 필요,
성신양회,004980,7360,180438297280.0,,,,,,0,주의 필요,
성신양회우,004985,11110,8173015950.0,,,,,,0,주의 필요,
롯데지주,004990,22950,2407666989150.0,,,,,,0,주의 필요,
롯데지주우,00499K,26950,21711000850.0,,,,,,0,주의 필요,
휴스틸,005010,6060,340499734500.0,,,,,,0,주의 필요,
