"종목코드","기준일","지표","값"
"004380","20250320","DY","0.0092"
"004430","20250320","DY","0.0194"
"004450","20250320","DY","0.0389"
"004490","20250320","DY","0.0101"
"004590","20250320","DY","0.0413"
"004650","20250320","DY","0.0675"
"004690","20250320","DY","0.0335"
"004710","20250320","DY","0.0236"
"004770","20250320","DY","0.0138"
"004780","20250320","DY","0.0291"
"004800","20250320","DY","0.0617"
"004830","20250320","DY","0.0062"
"004840","20250320","DY","0.0242"
"004890","20250320","DY","0.0248"
"004910","20250320","DY","0.0341"
"004960","20250320","DY","0.0159"
"004970","20250320","DY","0.057"
"004980","20250320","DY","0.0484"
"004990","20250320","DY","0.0649"
"005010","20250320","DY","0.0413"
"005090","20250320","DY","0.0741"
"005160","20250320","DY","0.0316"
"005180","20250320","DY","0.0275"
"005250","20250320","DY","0.0215"
"005290","20250320","DY","0.0037"
"005300","20250320","DY","0.0306"
"005360","20250320","DY","0.025"
"005380","20250320","DY","0.0563"
"005430","20250320","DY","0.0198"
"005440","20250320","DY","0.0378"
"005490","20250320","DY","0.0301"
"005500","20250320","DY","0.0449"
"005610","20250320","DY","0.0318"
"005670","20250320","DY","0.0179"
"005680","20250320","DY","0.0302"
"005710","20250320","DY","0.0236"
"005720","20250320","DY","0.0277"
"005740","20250320","DY","0.0183"
"005750","20250320","DY","0.0277"
"005800","20250320","DY","0.0147"
"005810","20250320","DY","0.049"
"005820","20250320","DY","0.0359"
"005830","20250320","DY","0.0544"
"005850","20250320","DY","0.0247"
"005860","20250320","DY","0.0196"
"005930","20250320","DY","0.024"
"005940","20250320","DY","0.0532"
"005960","20250320","DY","0.0838"
"005990","20250320","DY","0.021"
"006040","20250320","DY","0.0291"
"006050","20250320","DY","0.0058"
"006060","20250320","DY","0.0366"
"006090","20250320","DY","0.0236"
"006110","20250320","DY","0.0034"
"006120","20250320","DY","0.0423"
"006140","20250320","DY","0.0212"
"006200","20250320","DY","0.0283"
"006220","20250320","DY","0.0129"
"006260","20250320","DY","0.013"
"006280","20250320","DY","0.0112"
"006370","20250320","DY","0.0063"
"006390","20250320","DY","0.0486"
"006400","20250320","DY","0.0049"
"006620","20250320","DY","0.0245"
"006650","20250320","DY","0.0101"
"006660","20250320","DY","0.0033"
"006730","20250320","DY","0.0086"
"006740","20250320","DY","0.04"
"006800","20250320","DY","0.0154"
"006840","20250320","DY","0.0191"
"006880","20250320","DY","0.0171"
"006890","20250320","DY","0.017"
"006980","20250320","DY","0.0207"
"007070","20250320","DY","0.0341"
"007160","20250320","DY","0.0058"
"007310","20250320","DY","0.0213"
"007330","20250320","DY","0.0794"
"007340","20250320","DY","0.0281"
"007370","20250320","DY","0.0247"
"007540","20250320","DY","0.0047"
"007570","20250320","DY","0.0136"
"007590","20250320","DY","0.0497"
"007660","20250320","DY","0.0025"
"007690","20250320","DY","0.0393"
"007700","20250320","DY","0.0318"
"007770","20250320","DY","0.0047"
"007860","20250320","DY","0.0182"
"007980","20250320","DY","0.0257"
"008040","20250320","DY","0.0144"
"008060","20250320","DY","0.056"
"008250","20250320","DY","0.02"
"008260","20250320","DY","0.036"
"008370","20250320","DY","0.0546"
"008420","20250320","DY","0.019"
"008470","20250320","DY","0.0165"
"008490","20250320","DY","0.0067"
"008730","20250320","DY","0.0088"
"008770","20250320","DY","0.0051"
"008830","20250320","DY","0.0019"
"008870","20250320","DY","0.0232"
"008930","20250320","DY","0.0071"
"009070","20250320","DY","0.0188"
"009140","20250320","DY","0.0185"
"009150","20250320","DY","0.0082"
"009160","20250320","DY","0.025"
"009180","20250320","DY","0.0434"
"009200","20250320","DY","0.0361"
"009240","20250320","DY","0.1034"
"009270","20250320","DY","0.0525"
"009290","20250320","DY","0.0181"
"009300","20250320","DY","0.0464"
"009440","20250320","DY","0.0661"
"009450","20250320","DY","0.0072"
"009470","20250320","DY","0.0081"
"009520","20250320","DY","0.0024"
"009580","20250320","DY","0.0344"
"009680","20250320","DY","0.0488"
"009770","20250320","DY","0.0376"
"009780","20250320","DY","0.0166"
"009830","20250320","DY","0.0142"
"009900","20250320","DY","0.0112"
"009970","20250320","DY","0.0411"
"010040","20250320","DY","0.0203"
"010060","20250320","DY","0.0415"
"010100","20250320","DY","0.0219"
"010120","20250320","DY","0.0138"
"010130","20250320","DY","0.0177"
"010240","20250320","DY","0.0462"
"010420","20250320","DY","0.021"
"010470","20250320","DY","0.0389"
"010640","20250320","DY","0.0444"
"010660","20250320","DY","0.0098"
"010690","20250320","DY","0.0192"
"010770","20250320","DY","0.0236"
"010780","20250320","DY","0.0878"
"010950","20250320","DY","0.0292"
"010960","20250320","DY","0.0617"
"011040","20250320","DY","0.0701"
"011070","20250320","DY","0.0162"
"011170","20250320","DY","0.0499"
"011200","20250320","DY","0.0349"
"011210","20250320","DY","0.0181"
"011280","20250320","DY","0.0243"
"011320","20250320","DY","0.0129"
"011370","20250320","DY","0.0383"
"011390","20250320","DY","0.0035"
"011500","20250320","DY","0.0069"
"011560","20250320","DY","0.0542"
"011700","20250320","DY","0.005"
"011760","20250320","DY","0.0253"
"011780","20250320","DY","0.0254"
"012200","20250320","DY","0.0167"
"012280","20250320","DY","0.024"
"012320","20250320","DY","0.0118"
"012330","20250320","DY","0.0166"
"012450","20250320","DY","0.0025"
"012510","20250320","DY","0.0039"
"012610","20250320","DY","0.0169"
"012620","20250320","DY","0.0306"
"012630","20250320","DY","0.0213"
"012690","20250320","DY","0.0531"
"012700","20250320","DY","0.0506"
"012750","20250320","DY","0.0433"
"012790","20250320","DY","0.0262"
"013030","20250320","DY","0.0368"
"013120","20250320","DY","0.0344"
"013310","20250320","DY","0.037"
"013520","20250320","DY","0.0285"
"013580","20250320","DY","0.03"
"013700","20250320","DY","0.0165"
"013870","20250320","DY","0.0396"
"013890","20250320","DY","0.0046"
"014280","20250320","DY","0.03"
"014440","20250320","DY","0.0109"
"014530","20250320","DY","0.0598"
"014570","20250320","DY","0.0321"
"014580","20250320","DY","0.0292"
"014620","20250320","DY","0.0058"
"014680","20250320","DY","0.0157"
"014820","20250320","DY","0.0162"
"014830","20250320","DY","0.0203"
"014940","20250320","DY","0.009"
"014970","20250320","DY","0.0266"
"015230","20250320","DY","0.0351"
"015360","20250320","DY","0.1882"
"015710","20250320","DY","0.0177"
"015750","20250320","DY","0.0279"
"015860","20250320","DY","0.0411"
"015890","20250320","DY","0.0553"
"016090","20250320","DY","0.0477"
"016250","20250320","DY","0.0526"
"016360","20250320","DY","0.0476"
"016380","20250320","DY","0.0297"
"016450","20250320","DY","0.0611"
"016580","20250320","DY","0.026"
"016590","20250320","DY","0.021"
"016610","20250320","DY","0.0337"
"016710","20250320","DY","0.0355"
"016740","20250320","DY","0.0384"
"016800","20250320","DY","0.0281"
"016920","20250320","DY","0.0053"
"017040","20250320","DY","0.0071"
"017370","20250320","DY","0.0081"
"017390","20250320","DY","0.0459"
"017480","20250320","DY","0.069"
"017510","20250320","DY","0.0127"
"017550","20250320","DY","0.0052"
"017650","20250320","DY","0.015"
"017670","20250320","DY","0.0629"
"017800","20250320","DY","0.0738"
"017810","20250320","DY","0.0062"
"017890","20250320","DY","0.031"
"017900","20250320","DY","0.0287"
"017940","20250320","DY","0.0812"
"017960","20250320","DY","0.0074"
"018120","20250320","DY","0.038"
"018250","20250320","DY","0.04"
"018260","20250320","DY","0.022"
"018310","20250320","DY","0.0149"
"018500","20250320","DY","0.0297"
"018670","20250320","DY","0.0309"
"018880","20250320","DY","0.0799"
"019010","20250320","DY","0.0144"
"019180","20250320","DY","0.0192"
"019210","20250320","DY","0.0505"
"019440","20250320","DY","0.0755"
"019540","20250320","DY","0.0267"
"019770","20250320","DY","0.0172"
"019990","20250320","DY","0.0091"
"020000","20250320","DY","0.0476"
"020150","20250320","DY","0.0076"
"020180","20250320","DY","0.0281"
"020400","20250320","DY","0.0092"
"020710","20250320","DY","0.0206"
"021080","20250320","DY","0.0569"
"021240","20250320","DY","0.0155"
"021320","20250320","DY","0.0324"
"021650","20250320","DY","0.0314"
"021820","20250320","DY","0.019"
"022100","20250320","DY","0.0036"
"023000","20250320","DY","0.0471"
"023150","20250320","DY","0.0491"
