"종목코드","종목명","시장구분","종가","시가총액","기준일","EPS","선행EPS","BPS","주당배당금","종목구분"
"382800","지앤비에스 에코","KOSDAQ","3695","117615696495.0","20250317","588.0","","3047.0","0.0","보통주"
"382840","원준","KOSDAQ","10570","161420611170.0","20250317","369.0","","7851.0","200.0","보통주"
"382900","범한퓨얼셀","KOSDAQ","15910","139387510000.0","20250317","","49.0","12106.0","0.0","보통주"
"383220","F&F","KOSPI","67400","2581896855000.0","20250317","11144.0","9931.0","33834.0","1700.0","보통주"
"383310","에코프로에이치엔","KOSDAQ","28450","596736815400.0","20250317","2058.0","","6783.0","600.0","보통주"
"383800","LX홀딩스","KOSPI","6650","507266588500.0","20250317","1015.0","2322.0","21403.0","270.0","보통주"
"38380K","LX홀딩스1우","KOSPI","7860","11517140100.0","20250317","","","","280.0","우선주"
"383930","디티앤씨알오","KOSDAQ","6690","85434725280.0","20250317","","","2488.0","0.0","보통주"
"384470","코어라인소프트","KOSDAQ","9120","117110503680.0","20250317","","","946.0","0.0","보통주"
"387570","파인메딕스","KOSDAQ","10640","59859576000.0","20250317","261.0","","2803.0","0.0","보통주"
"388050","지투파워","KOSDAQ","7200","134707946400.0","20250317","37.0","","1735.0","0.0","보통주"
"388720","유일로보틱스","KOSDAQ","65200","748693295200.0","20250317","","","3903.0","0.0","보통주"
"388790","라이콤","KOSDAQ","2485","74336116050.0","20250317","","","810.0","0.0","보통주"
"388870","파로스아이바이오","KOSDAQ","7100","91916117200.0","20250317","","","2194.0","0.0","보통주"
"389020","자람테크놀로지","KOSDAQ","40550","251317951500.0","20250317","","","5784.0","0.0","보통주"
"389030","지니너스","KOSDAQ","1340","44691472300.0","20250317","","","1036.0","0.0","보통주"
"389140","포바이포","KOSDAQ","7150","79456055250.0","20250317","","","3731.0","0.0","보통주"
"389260","대명에너지","KOSDAQ","12600","214830000000.0","20250317","360.0","","7094.0","0.0","보통주"
"389470","인벤티지랩","KOSDAQ","14260","143242769500.0","20250317","","","502.0","0.0","보통주"
"389500","에스비비테크","KOSDAQ","24100","148815186400.0","20250317","","","1947.0","0.0","보통주"
"389650","넥스트바이오메디컬","KOSDAQ","45300","366394825800.0","20250317","","720.0","","0.0","보통주"
"389680","유디엠텍","KOSDAQ","671","26848588129.0","20250317","","","","0.0","보통주"
