IDX_CD,CMP_CD,CMP_KOR,SEC_NM_KOR,기준일
G35,32620,유비케어,건강관리,2025-03-14
G35,384470,코어라인소프트,건강관리,2025-03-14
G35,234690,녹십자웰빙,건강관리,2025-03-14
G35,235980,메드팩토,건강관리,2025-03-14
G35,191420,테고사이언스,건강관리,2025-03-14
G35,39860,나노엔텍,건강관리,2025-03-14
G35,59210,메타바이오메드,건강관리,2025-03-14
G35,228670,레이,건강관리,2025-03-14
G35,187420,HLB제넥스,건강관리,2025-03-14
G35,36220,오상헬스케어,건강관리,2025-03-14
G35,226330,신테카바이오,건강관리,2025-03-14
G35,8490,서흥,건강관리,2025-03-14
G35,56090,시지메드텍,건강관리,2025-03-14
G35,6620,동구바이오제약,건강관리,2025-03-14
G35,217330,싸이토젠,건강관리,2025-03-14
G35,102460,이연제약,건강관리,2025-03-14
G35,42520,한스바이오메드,건강관리,2025-03-14
G35,253840,수젠텍,건강관리,2025-03-14
G35,180400,DXVX,건강관리,2025-03-14
G35,2210,동성제약,건강관리,2025-03-14
G35,476060,온코닉테라퓨틱스,건강관리,2025-03-14
G35,194700,노바렉스,건강관리,2025-03-14
G35,99750,이지케어텍,건강관리,2025-03-14
G35,4720,팜젠사이언스,건강관리,2025-03-14
G35,71200,인피니트헬스케어,건강관리,2025-03-14
G35,49960,쎌바이오텍,건강관리,2025-03-14
G35,261200,덴티스,건강관리,2025-03-14
G35,63160,종근당바이오,건강관리,2025-03-14
G35,293480,하나제약,건강관리,2025-03-14
G35,131030,옵투스제약,건강관리,2025-03-14
G35,65510,휴비츠,건강관리,2025-03-14
G35,41910,폴라리스AI파마,건강관리,2025-03-14
G35,338840,와이바이오로직스,건강관리,2025-03-14
G35,166480,코아스템켐온,건강관리,2025-03-14
G35,314130,지놈앤컴퍼니,건강관리,2025-03-14
G35,204840,지엘팜텍,건강관리,2025-03-14
G35,4310,현대약품,건강관리,2025-03-14
G35,185490,아이진,건강관리,2025-03-14
G35,104540,코렌텍,건강관리,2025-03-14
G35,388870,파로스아이바이오,건강관리,2025-03-14
G35,365270,큐라클,건강관리,2025-03-14
G35,299660,셀리드,건강관리,2025-03-14
G35,72020,중앙백신,건강관리,2025-03-14
G35,460940,피앤에스미캐닉스,건강관리,2025-03-14
G35,372910,한컴라이프케어,건강관리,2025-03-14
G35,54670,대한뉴팜,건강관리,2025-03-14
G35,302550,리메드,건강관리,2025-03-14
G35,32850,비트컴퓨터,건강관리,2025-03-14
G35,74430,아미노로직스,건강관리,2025-03-14
G35,2720,국제약품,건강관리,2025-03-14
G35,271980,제일약품,건강관리,2025-03-14
G35,382150,온코크로스,건강관리,2025-03-14
G35,122310,제노레이,건강관리,2025-03-14
G35,61250,화일약품,건강관리,2025-03-14
G35,460470,아이빔테크놀로지,건강관리,2025-03-14
G35,41920,메디아나,건강관리,2025-03-14
G35,35610,솔본,건강관리,2025-03-14
G35,214390,경보제약,건강관리,2025-03-14
G35,3120,일성아이에스,건강관리,2025-03-14
G35,359090,씨엔알리서치,건강관리,2025-03-14
G35,317690,퀀타매트릭스,건강관리,2025-03-14
G35,67290,JW신약,건강관리,2025-03-14
G35,303810,동국생명과학,건강관리,2025-03-14
G35,67370,선바이오,건강관리,2025-03-14
G35,348150,고바이오랩,건강관리,2025-03-14
G35,54050,농우바이오,건강관리,2025-03-14
G35,363250,진시스템,건강관리,2025-03-14
G35,7370,진양제약,건강관리,2025-03-14
G35,32300,한국파마,건강관리,2025-03-14
G35,175250,아이큐어,건강관리,2025-03-14
G35,149980,하이로닉,건강관리,2025-03-14
G35,299170,더블유에스아이,건강관리,2025-03-14
G35,376930,노을,건강관리,2025-03-14
G35,196300,애니젠,건강관리,2025-03-14
G35,294090,이오플로우,건강관리,2025-03-14
G35,261780,차백신연구소,건강관리,2025-03-14
G35,251120,바이오에프디엔씨,건강관리,2025-03-14
G35,304840,피플바이오,건강관리,2025-03-14
G35,208370,셀바스헬스케어,건강관리,2025-03-14
G35,462510,라메디텍,건강관리,2025-03-14
G35,100700,세운메디칼,건강관리,2025-03-14
G35,246710,티앤알바이오팹,건강관리,2025-03-14
G35,222040,코스맥스엔비티,건강관리,2025-03-14
G35,220,유유제약,건강관리,2025-03-14
G35,222110,팬젠,건강관리,2025-03-14
G35,383930,디티앤씨알오,건강관리,2025-03-14
G35,38070,서린바이오,건강관리,2025-03-14
G35,246960,SCL사이언스,건강관리,2025-03-14
G35,153710,옵티팜,건강관리,2025-03-14
G35,109820,진매트릭스,건강관리,2025-03-14
G35,12790,신일제약,건강관리,2025-03-14
G35,17180,명문제약,건강관리,2025-03-14
G35,86040,바이오톡스텍,건강관리,2025-03-14
G35,263050,유틸렉스,건강관리,2025-03-14
G35,308080,바이젠셀,건강관리,2025-03-14
G35,109960,AP헬스케어,건강관리,2025-03-14
G35,260660,알리코제약,건강관리,2025-03-14
G35,142760,모아라이프플러스,건강관리,2025-03-14
G35,464280,티디에스팜,건강관리,2025-03-14
G35,142280,녹십자엠에스,건강관리,2025-03-14
G35,387570,파인메딕스,건강관리,2025-03-14
G35,246720,아스타,건강관리,2025-03-14
G35,330350,위더스제약,건강관리,2025-03-14
G35,2800,신신제약,건강관리,2025-03-14
G35,118000,메타케어,건강관리,2025-03-14
